Results index;Item number;Element number;Type;Group;Filler1;Filler2;Det;Noun;Case;Sent_id;Sentence;probability
23;21;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;10;Андрей установил мой аналоговый и цифровой прибор для измерения динамических параметров.;
7;22;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;11;Петр выдвинул свой социальный и политический лозунг на недавнем районном митинге.;
2;23;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;12;Филипп изучил этот горный и равнинный пейзаж за время длительного путешествия.;
4;24;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;13;Саша съел наш фруктовый и овощной салат на праздничном семейном застолье.;
19;25;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;14;Дима проигнорировал мой белковый и масляный крем при украшении самодельных пирожных.;
1;26;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;15;Эдуард представил свой комедийный и драматический фильм на известном международном фестивале.;
3;27;2;stimul;1;NULL;NULL;sgdet;sgnoun;acc;16;Егор купил этот моющий и дезинфицирующий раствор для проведения генеральной уборки.;
9;140;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;17;Игорь вколол наш первый и второй компонент во избежание заболевания коронавирусом.;
23;141;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;18;Никита позаимствовал мой пихтовый и пчелиный бальзам при лечении больных суставов.;
7;142;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;19;Глеб дал свой устный и письменный ответ на телевизионном интеллектуальном конкурсе.;
2;143;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;20;Илья завязал этот марлевый и эластичный бинт для фиксации поврежденной руки.;
4;144;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;21;Алексей упомянул наш квартальный и годовой отчет на итоговом рабочем совещании.;
19;145;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;22;Вячеслав обдумал мой устный и стендовый доклад в свете актуальных проблем.;
1;146;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;23;Валерий провел свой архитектурный и инженерный расчет для нового строящегося объекта.;
3;147;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;24;Ваня примерил этот синий и коричневый костюм в магазине свадебной одежды.;
9;148;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;25;Кирилл исследовал наш московский и петербургский театр для выполнения проектной работы.;
23;149;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;26;Захар выслушал мой детский и подростковый рассказ на конкурсе молодых писателей.;
7;150;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;27;Паша развернул свой напечатанный и нарисованный плакат перед всеми остальными одноклассниками.;
2;151;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;28;Григорий одолел этот региональный и международный проект для решения экономических задач.;
4;152;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;29;Виталик распланировал наш будний и выходной день для плодотворного совместного досуга.;
19;153;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;30;Женя нанёс мой цветочный и медовый гель после тяжелого рабочего дня.;
1;154;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;31;Анатолий настроил свой новый и старый измеритель для сравнения полученных показаний.;
2;219;2;stimul;2;NULL;NULL;sgdet;sgnoun;acc;32;Родион приобрел этот российский и иностранный автомобиль для своей большой семьи.;
23;124;2;stimul;1;NULL;NULL;pldet;plnoun;instr;1;Вася воспользовался нашими длинным и коротким шлангами для полива собственного сада.;
7;125;2;stimul;1;NULL;NULL;pldet;plnoun;instr;2;Сергей возмутился моими индивидуальным и групповым подходами после школьного открытого урока.;
2;126;2;stimul;1;NULL;NULL;pldet;plnoun;instr;3;Олег воспользовался своими депозитным и кредитным договорами для контроля банковских операций.;
4;127;2;stimul;1;NULL;NULL;pldet;plnoun;instr;4;Коля восхитился этими древним и современным экспонатами на выставке европейского искусства.;
19;128;2;stimul;1;NULL;NULL;pldet;plnoun;instr;5;Костя поделился нашими простым и сложным рецептами в своем кулинарном блоге.;
1;129;2;stimul;1;NULL;NULL;pldet;plnoun;instr;6;Антон проникся моими практическим и теоретическим методами для проведения учебного семинара.;
3;130;2;stimul;1;NULL;NULL;pldet;plnoun;instr;7;Володя отметился своими карандашным и акварельным рисунками на конкурсе талантливых иллюстраторов.;
9;131;2;stimul;1;NULL;NULL;pldet;plnoun;instr;8;Семен овладел этими прямым и боковым ударами на курсах рукопашного боя.;
23;132;2;stimul;1;NULL;NULL;pldet;plnoun;instr;9;Федя злоупотребил нашими острым и пряным соусами при готовке жареного мяса.;
7;133;2;stimul;1;NULL;NULL;pldet;plnoun;instr;10;Андрей запасся моими аналоговым и цифровым приборами для измерения динамических параметров.;
2;134;2;stimul;1;NULL;NULL;pldet;plnoun;instr;11;Петр ограничился своими социальным и политическим лозунгами на недавнем районном митинге.;
4;135;2;stimul;1;NULL;NULL;pldet;plnoun;instr;12;Филипп насладился этими горным и равнинным пейзажами за время длительного путешествия.;
19;136;2;stimul;1;NULL;NULL;pldet;plnoun;instr;13;Саша объелся нашими фруктовым и овощным салатами на праздничном семейном застолье.;
1;137;2;stimul;1;NULL;NULL;pldet;plnoun;instr;14;Дима пренебрег моими белковым и масляным кремами при украшении самодельных пирожных.;
3;138;2;stimul;1;NULL;NULL;pldet;plnoun;instr;15;Эдуард прославился своими комедийным и драматическим фильмами на известном международном фестивале.;
9;139;2;stimul;1;NULL;NULL;pldet;plnoun;instr;16;Егор обзавелся этими моющим и дезинфицирующим растворами для проведения генеральной уборки.;
23;252;2;stimul;2;NULL;NULL;pldet;plnoun;instr;17;Игорь вакцинировался нашими первым и вторым компонентами во избежание заболевания коронавирусом.;
7;253;2;stimul;2;NULL;NULL;pldet;plnoun;instr;18;Никита натёрся моими пихтовым и пчелиным бальзамами при лечении больных суставов.;
2;254;2;stimul;2;NULL;NULL;pldet;plnoun;instr;19;Глеб порадовал своими устным и письменным ответами на телевизионном интеллектуальном конкурсе.;
4;255;2;stimul;2;NULL;NULL;pldet;plnoun;instr;20;Илья перевязался этими марлевым и эластичным бинтами для фиксации поврежденной руки.;
19;256;2;stimul;2;NULL;NULL;pldet;plnoun;instr;21;Алексей оперировал нашими квартальным и годовым отчетами на итоговом рабочем совещании.;
1;257;2;stimul;2;NULL;NULL;pldet;plnoun;instr;22;Вячеслав вдохновился моими устным и стендовым докладами в свете актуальных проблем.;
3;258;2;stimul;2;NULL;NULL;pldet;plnoun;instr;23;Валерий увлекся своими архитектурным и инженерным расчетами для нового строящегося объекта.;
9;259;2;stimul;2;NULL;NULL;pldet;plnoun;instr;24;Ваня залюбовался этими синим и коричневым костюмами в магазине свадебной одежды.;
23;260;2;stimul;2;NULL;NULL;pldet;plnoun;instr;25;Кирилл заинтересовался нашими московским и петербургским театрами для выполнения проектной работы.;
7;261;2;stimul;2;NULL;NULL;pldet;plnoun;instr;26;Захар воодушевился моими детским и подростковым рассказами на конкурсе молодых писателей.;
2;262;2;stimul;2;NULL;NULL;pldet;plnoun;instr;27;Паша помахал своими напечатанным и нарисованным плакатами перед всеми остальными одноклассниками.;
4;263;2;stimul;2;NULL;NULL;pldet;plnoun;instr;28;Григорий занялся этими региональным и международным проектами для решения экономических задач.;
19;264;2;stimul;2;NULL;NULL;pldet;plnoun;instr;29;Виталик распорядился нашими будним и выходным днями для плодотворного совместного досуга.;
1;265;2;stimul;2;NULL;NULL;pldet;plnoun;instr;30;Женя намылился моими цветочным и медовым гелями после тяжелого рабочего дня.;
3;266;2;stimul;2;NULL;NULL;pldet;plnoun;instr;31;Анатолий вооружился своими новым и старым измерителями для сравнения полученных показаний.;
13;267;2;stimul;2;NULL;NULL;pldet;plnoun;instr;32;Родион обзавелся этими российским и иностранным автомобилями для своей большой семьи.;
3;28;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;1;Вася воспользовался нашими длинным и коротким шлангом для полива собственного сада.;
9;29;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;2;Сергей возмутился моими индивидуальным и групповым подходом после школьного открытого урока.;
23;30;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;3;Олег воспользовался своими депозитным и кредитным договором для контроля банковских операций.;
7;31;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;4;Коля восхитился этими древним и современным экспонатом на выставке европейского искусства.;
2;32;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;5;Костя поделился нашими простым и сложным рецептом в своем кулинарном блоге. ;
4;33;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;6;Антон проникся моими практическим и теоретическим методом для проведения учебного семинара.;
19;34;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;7;Володя отметился своими карандашным и акварельным рисунком на конкурсе талантливых иллюстраторов.;
1;35;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;8;Семен овладел этими прямым и боковым ударом на курсах рукопашного боя.;
3;36;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;9;Федя злоупотребил нашими острым и пряным соусом при готовке жареного мяса.;
9;37;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;10;Андрей запасся моими аналоговым и цифровым прибором для измерения динамических параметров.;
23;38;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;11;Петр ограничился своими социальным и политическим лозунгом на недавнем районном митинге.;
7;39;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;12;Филипп насладился этими горным и равнинным пейзажем за время длительного путешествия.;
2;40;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;13;Саша объелся нашими фруктовым и овощным салатом на праздничном семейном застолье.;
4;41;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;14;Дима пренебрег моими белковым и масляным кремом при украшении самодельных пирожных.;
19;42;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;15;Эдуард прославился своими комедийным и драматическим фильмом на известном международном фестивале.;
1;43;2;stimul;1;NULL;NULL;pldet;sgnoun;instr;16;Егор обзавелся этими моющим и дезинфицирующим раствором для проведения генеральной уборки.;
3;156;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;17;Игорь вакцинировался нашими первым и вторым компонентом во избежание заболевания коронавирусом.;
9;157;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;18;Никита натёрся моими пихтовым и пчелиным бальзамом при лечении больных суставов.;
23;158;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;19;Глеб порадовал своими устным и письменным ответом на телевизионном интеллектуальном конкурсе.;
7;159;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;20;Илья перевязался этими марлевым и эластичным бинтом для фиксации поврежденной руки.;
2;160;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;21;Алексей оперировал нашими квартальным и годовым отчетом на итоговом рабочем совещании.;
4;161;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;22;Вячеслав вдохновился моими устным и стендовым докладом в свете актуальных проблем.;
51;162;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;23;Валерий увлекся своими архитектурным и инженерным расчетом для нового строящегося объекта.;
1;163;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;24;Ваня залюбовался этими синим и коричневым костюмом в магазине свадебной одежды.;
3;164;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;25;Кирилл заинтересовался нашими московским и петербургским театром для выполнения проектной работы.;
9;165;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;26;Захар воодушевился моими детским и подростковым рассказом на конкурсе молодых писателей.;
23;166;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;27;Паша помахал своими напечатанным и нарисованным плакатом перед всеми остальными одноклассниками.;
7;167;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;28;Григорий занялся этими региональным и международным проектом для решения экономических задач.;
2;168;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;29;Виталик распорядился нашими будним и выходным днем для плодотворного совместного досуга.;
4;169;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;30;Женя намылился моими цветочным и медовым гелем после тяжелого рабочего дня.;
19;170;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;31;Анатолий вооружился своими новым и старым измерителем для сравнения полученных показаний.;
28;171;2;stimul;2;NULL;NULL;pldet;sgnoun;instr;32;Родион обзавелся этими российским и иностранным автомобилем для своей большой семьи.;
1;44;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;1;Вася воспользовался нашим длинным и коротким шлангами для полива собственного сада.;
3;45;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;2;Сергей возмутился моим индивидуальным и групповым подходами после школьного открытого урока.;
9;46;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;3;Олег воспользовался своим депозитным и кредитным договорами для контроля банковских операций.;
23;47;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;4;Коля восхитился этим древним и современным экспонатами на выставке европейского искусства.;
7;48;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;5;Костя поделился нашим простым и сложным рецептами в своем кулинарном блоге.;
2;49;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;6;Антон проникся моим практическим и теоретическим методами для проведения учебного семинара.;
4;50;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;7;Володя отметился своим карандашным и акварельным рисунками на конкурсе талантливых иллюстраторов.;
19;51;2;stimul;1;NULL;NULL;sgdet;plnoun;instr;8;Семен овладел этим прямым и боковым ударами на курсах рукопашного боя.;
